,min_cost,best_plant,best_port_price,best_port
0,4.7563741745191,PLANT16,2.8365666666666662,PORT09
1,4.7563741745191,PLANT16,2.8365666666666662,PORT09
2,4.7563741745191,PLANT16,2.8365666666666662,PORT09
3,4.7563741745191,PLANT16,2.8365666666666662,PORT09
4,4.7563741745191,PLANT16,2.8365666666666662,PORT09
5,4.7563741745191,PLANT16,2.8365666666666662,PORT09
6,4.7563741745191,PLANT16,2.8365666666666662,PORT09
7,4.7563741745191,PLANT16,2.8365666666666662,PORT09
8,4.7563741745191,PLANT16,2.8365666666666662,PORT09
9,4.7563741745191,PLANT16,2.8365666666666662,PORT09
10,4.7563741745191,PLANT16,2.8365666666666662,PORT09
11,4.7563741745191,PLANT16,2.8365666666666662,PORT09
12,4.7563741745191,PLANT16,2.8365666666666662,PORT09
13,4.7563741745191,PLANT16,2.8365666666666662,PORT09
14,4.7563741745191,PLANT16,2.8365666666666662,PORT09
15,4.7563741745191,PLANT16,2.8365666666666662,PORT09
16,4.7563741745191,PLANT16,2.8365666666666662,PORT09
17,4.7563741745191,PLANT16,2.8365666666666662,PORT09
18,4.7563741745191,PLANT16,2.8365666666666662,PORT09
19,4.7563741745191,PLANT16,2.8365666666666662,PORT09
20,4.7563741745191,PLANT16,2.8365666666666662,PORT09
21,4.7563741745191,PLANT16,2.8365666666666662,PORT09
22,4.7563741745191,PLANT16,2.8365666666666662,PORT09
23,4.7563741745191,PLANT16,2.8365666666666662,PORT09
24,4.7563741745191,PLANT16,2.8365666666666662,PORT09
25,4.7563741745191,PLANT16,2.8365666666666662,PORT09
26,4.7563741745191,PLANT16,2.8365666666666662,PORT09
27,4.7563741745191,PLANT16,2.8365666666666662,PORT09
28,4.7563741745191,PLANT16,2.8365666666666662,PORT09
29,4.7563741745191,PLANT16,2.8365666666666662,PORT09
30,4.7563741745191,PLANT16,2.8365666666666662,PORT09
31,4.7563741745191,PLANT16,2.8365666666666662,PORT09
32,4.7563741745191,PLANT16,2.8365666666666662,PORT09
33,4.7563741745191,PLANT16,2.8365666666666662,PORT09
34,4.7563741745191,PLANT16,2.8365666666666662,PORT09
35,4.7563741745191,PLANT16,2.8365666666666662,PORT09
36,4.7563741745191,PLANT16,2.8365666666666662,PORT09
37,4.7563741745191,PLANT16,2.8365666666666662,PORT09
38,4.7563741745191,PLANT16,2.8365666666666662,PORT09
39,4.7563741745191,PLANT16,2.8365666666666662,PORT09
40,4.7563741745191,PLANT16,2.8365666666666662,PORT09
41,4.7563741745191,PLANT16,2.8365666666666662,PORT09
42,4.7563741745191,PLANT16,2.8365666666666662,PORT09
43,4.7563741745191,PLANT16,2.8365666666666662,PORT09
44,4.7563741745191,PLANT16,2.8365666666666662,PORT09
45,4.7563741745191,PLANT16,2.8365666666666662,PORT09
46,4.7563741745191,PLANT16,2.8365666666666662,PORT09
47,4.7563741745191,PLANT16,2.8365666666666662,PORT09
48,4.7563741745191,PLANT16,2.8365666666666662,PORT09
49,4.7563741745191,PLANT16,2.8365666666666662,PORT09
50,4.7563741745191,PLANT16,2.8365666666666662,PORT09
51,4.7563741745191,PLANT16,2.8365666666666662,PORT09
52,4.7563741745191,PLANT16,2.8365666666666662,PORT09
53,4.7563741745191,PLANT16,2.8365666666666662,PORT09
54,4.7563741745191,PLANT16,2.8365666666666662,PORT09
55,4.7563741745191,PLANT16,2.8365666666666662,PORT09
56,4.7563741745191,PLANT16,2.8365666666666662,PORT09
57,4.7563741745191,PLANT16,2.8365666666666662,PORT09
58,4.7563741745191,PLANT16,2.8365666666666662,PORT09
59,4.7563741745191,PLANT16,2.8365666666666662,PORT09
60,4.7563741745191,PLANT16,2.8365666666666662,PORT09
61,4.7563741745191,PLANT16,2.8365666666666662,PORT09
62,4.7563741745191,PLANT16,2.8365666666666662,PORT09
63,4.7563741745191,PLANT16,2.8365666666666662,PORT09
64,4.7563741745191,PLANT16,2.8365666666666662,PORT09
65,4.7563741745191,PLANT16,2.8365666666666662,PORT09
66,4.7563741745191,PLANT16,2.8365666666666662,PORT09
67,4.7563741745191,PLANT16,2.8365666666666662,PORT09
68,4.7563741745191,PLANT16,2.8365666666666662,PORT09
69,4.7563741745191,PLANT16,2.8365666666666662,PORT09
70,4.7563741745191,PLANT16,2.8365666666666662,PORT09
71,4.7563741745191,PLANT16,2.8365666666666662,PORT09
72,4.7563741745191,PLANT16,2.8365666666666662,PORT09
73,4.7563741745191,PLANT16,2.8365666666666662,PORT09
74,4.7563741745191,PLANT16,2.8365666666666662,PORT09
75,4.7563741745191,PLANT16,2.8365666666666662,PORT09
76,4.7563741745191,PLANT16,2.8365666666666662,PORT09
77,4.7563741745191,PLANT16,2.8365666666666662,PORT09
78,4.7563741745191,PLANT16,2.8365666666666662,PORT09
79,4.7563741745191,PLANT16,2.8365666666666662,PORT09
80,4.7563741745191,PLANT16,2.8365666666666662,PORT09
81,4.7563741745191,PLANT16,2.8365666666666662,PORT09
82,4.7563741745191,PLANT16,2.8365666666666662,PORT09
83,4.7563741745191,PLANT16,2.8365666666666662,PORT09
84,4.7563741745191,PLANT16,2.8365666666666662,PORT09
